Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,"CountPathMin-divided-by-1,000","CountPathMean-divided-by-1,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
ReduceSinkMapJoinProc.java,102.0,8.0,17.0,14.0,14.0,4.0,2.0,39.0,0.0,1.0,2.0,0.0,0.0,0.0,33.0,1.0,0.0,0.28,2.0,8.571428571428571,23.0,1.0,24.714285714285715,73.0,0.0,1163.0,8.0,0.0,1.5714285714285714,4.0,0.0
SemanticAnalyzer.java,41.0,3.0,6.0,6.0,6.0,2.0,1.1538461538461535,28.28846153846154,0.4807692307692308,10.0,27.0,48.0,177.0,17.0,66.0,1.4615384615384617,41.69230769230769,0.22,0.0,7.717477003942181,110.0,0.0,11.295663600525623,197.0,0.0,1183.0,754.0,0.0,1.3482260183968462,8.0,1.0
SetSparkReducerParallelism.java,63.0,6.0,3.0,12.0,12.0,6.0,2.0,35.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,1.0,50.0,0.21,4.0,7.5,11.0,9.0,23.5,38.0,0.0,0.0,0.0,3.0,4.5,6.0,0.0
SortedDynPartitionOptimizer.java,41.0,4.0,6.0,6.0,6.0,3.0,1.5,35.0,0.0,2.0,0.0,0.0,9.0,0.0,23.0,1.5,36.5,0.22,1.0,4.75,17.0,2.0,15.833333333333334,59.0,0.0,23.0,0.0,0.0,1.9166666666666667,3.0,1.0
StatsRulesProcFactory.java,49.0,5.0,7.0,9.0,9.0,4.0,1.8888888888888888,28.22222222222222,0.7777777777777778,9.0,11.0,3.0,21.0,0.0,45.0,1.7777777777777777,0.0,0.29,1.0,5.325,13.0,1.0,13.825,56.0,0.0,3.0,0.0,0.0,2.8,7.0,1.0
TaskCompiler.java,54.0,5.0,7.0,8.0,8.0,2.0,1.0,37.5,1.5,1.0,0.0,0.0,1.0,7.0,44.0,1.0,35.5,0.24,1.0,4.75,21.0,0.0,14.416666666666666,100.0,0.0,52.0,1.0,0.0,0.9166666666666666,6.0,0.0
TestBinarySortableFast.java,105.0,14.0,11.0,13.0,13.0,2.0,1.0,31.0,0.0,1.0,1.0,0.0,3.0,0.0,40.0,2.0,100.0,0.17,1.0,6.75,16.0,3.0,15.25,36.0,0.0,4219.0,17.0,1.0,2.5,5.0,0.0
TestVectorSerDeRow.java,59.0,5.0,6.0,8.0,5.0,1.0,1.0,75.0,0.0,2.0,0.0,5.0,4.0,0.0,42.0,2.0,0.0,0.13,2.0,12.0,37.0,1.0,16.8,44.0,0.0,0.0,0.0,0.0,1.8,5.0,0.0
Throttle.java,34.0,4.0,6.0,4.0,4.0,3.0,1.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.61,13.0,13.0,13.0,16.0,16.0,16.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
TypeCheckProcFactory.java,35.0,3.0,6.0,6.0,6.0,3.0,1.6923076923076923,22.53846153846154,0.2307692307692307,10.0,9.0,1.0,4.0,7.0,44.0,1.2307692307692308,6.461538461538462,0.24,0.0,6.547619047619048,38.0,1.0,9.904761904761903,75.0,0.0,1.0,0.0,0.0,1.2857142857142858,5.0,1.0
VectorAssignRow.java,48.0,4.0,6.0,7.0,4.0,5.0,1.0,60.0,0.0,1.0,0.0,0.0,4.0,0.0,32.0,1.0,68.0,0.28,1.0,9.916666666666666,33.0,2.0,9.75,36.0,0.0,0.0,0.0,0.0,1.9166666666666667,5.0,0.0
VectorDeserializeRow.java,38.0,3.0,7.0,5.0,4.0,3.0,1.0,50.0,0.0,1.0,0.0,0.0,7.0,0.0,26.0,1.0,75.0,0.35,2.0,11.61111111111111,48.0,1.0,8.222222222222221,44.0,0.0,0.0,0.0,0.0,1.5555555555555556,4.0,0.0
VectorKeySeriesLongSerialized.java,68.0,5.0,1.0,9.0,8.0,1.0,2.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,4.0,33.0,0.12,12.0,13.5,15.0,11.0,12.0,13.0,0.0,0.0,0.0,1.0,3.5,6.0,0.0
VectorMapJoinInnerBigOnlyLongOperator.java,79.0,15.0,19.0,10.0,8.0,2.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,38.0,8.0,75.0,0.57,37.0,37.0,37.0,32.0,32.0,32.0,186.0,186.0,0.0,6.0,6.0,6.0,0.0
VectorMapJoinInnerBigOnlyMultiKeyOperator.java,79.0,15.0,19.0,10.0,8.0,3.0,1.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,37.0,8.0,75.0,0.57,35.0,35.0,35.0,38.0,38.0,38.0,174.0,174.0,0.0,6.0,6.0,6.0,0.0
VectorMapJoinInnerBigOnlyStringOperator.java,76.0,15.0,19.0,9.0,7.0,2.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,34.0,8.0,75.0,0.6,36.0,36.0,36.0,27.0,27.0,27.0,43.0,43.0,0.0,6.0,6.0,6.0,0.0
VectorMapJoinInnerLongOperator.java,78.0,15.0,18.0,10.0,8.0,2.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,38.0,8.0,75.0,0.53,38.0,38.0,38.0,37.0,37.0,37.0,186.0,186.0,0.0,6.0,6.0,6.0,0.0
VectorMapJoinInnerMultiKeyOperator.java,79.0,15.0,18.0,10.0,8.0,3.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,37.0,8.0,75.0,0.54,36.0,36.0,36.0,43.0,43.0,43.0,174.0,174.0,0.0,6.0,6.0,6.0,0.0
VectorMapJoinInnerStringOperator.java,75.0,15.0,18.0,9.0,7.0,2.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,34.0,8.0,75.0,0.56,37.0,37.0,37.0,32.0,32.0,32.0,43.0,43.0,0.0,6.0,6.0,6.0,0.0
VectorMapJoinLeftSemiLongOperator.java,76.0,15.0,19.0,10.0,8.0,2.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,38.0,8.0,75.0,0.6,34.0,34.0,34.0,27.0,27.0,27.0,186.0,186.0,0.0,6.0,6.0,6.0,0.0
VectorMapJoinLeftSemiMultiKeyOperator.java,78.0,15.0,20.0,10.0,8.0,3.0,1.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,37.0,8.0,75.0,0.62,32.0,32.0,32.0,33.0,33.0,33.0,174.0,174.0,0.0,6.0,6.0,6.0,0.0
VectorMapJoinLeftSemiStringOperator.java,73.0,15.0,19.0,9.0,7.0,2.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,34.0,8.0,75.0,0.63,33.0,33.0,33.0,22.0,22.0,22.0,43.0,43.0,0.0,6.0,6.0,6.0,0.0
VectorMapJoinOuterGenerateResultOperator.java,44.0,7.0,14.0,5.0,5.0,1.0,1.0,16.0,3.0,1.0,0.0,0.0,5.0,5.0,17.0,7.0,83.0,0.81,5.0,9.909090909090908,26.0,1.0,5.636363636363637,15.0,0.0,0.0,0.0,1.0,2.1818181818181817,4.0,0.0
VectorMapJoinOuterLongOperator.java,93.0,17.0,24.0,12.0,10.0,2.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,43.0,8.0,75.0,0.58,40.0,40.0,40.0,38.0,38.0,38.0,601.0,601.0,1.0,7.0,7.0,7.0,0.0
VectorMapJoinOuterMultiKeyOperator.java,96.0,18.0,24.0,12.0,10.0,3.0,1.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,44.0,8.0,75.0,0.56,39.0,39.0,39.0,44.0,44.0,44.0,1363.0,1363.0,1.0,7.0,7.0,7.0,0.0
VectorMapJoinOuterStringOperator.java,91.0,17.0,23.0,11.0,9.0,2.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,40.0,8.0,75.0,0.59,39.0,39.0,39.0,33.0,33.0,33.0,227.0,227.0,0.0,7.0,7.0,7.0,0.0
ExecDriver.java,24.0,3.0,3.0,4.0,4.0,1.0,1.6666666666666667,61.0,0.3333333333333333,1.0,7.0,0.0,4.0,2.0,33.0,2.0,72.66666666666667,0.17,0.0,5.481481481481482,32.0,1.0,10.0,109.0,0.0,21.0,1.0,0.0,0.5370370370370371,5.0,1.0
VectorMapJoinGenerateResultOperator.java,31.0,4.0,6.0,4.0,4.0,2.0,1.0,40.0,4.0,1.0,2.0,0.0,4.0,12.0,17.0,6.0,90.0,0.37,2.0,9.15,18.0,1.0,6.1,19.0,0.0,0.0,0.0,0.0,1.6,4.0,1.0
Vectorizer.java,26.0,3.0,3.0,4.0,4.0,2.0,1.4545454545454546,39.63636363636363,0.1818181818181818,9.0,1.0,7.0,45.0,2.0,38.0,1.3636363636363635,44.81818181818182,0.14,0.0,5.164835164835165,28.0,1.0,8.131868131868131,43.0,0.0,0.0,0.0,0.0,1.2307692307692308,6.0,1.0
TxnHandler.java,30.0,1.0,6.0,4.0,4.0,2.0,1.3333333333333333,19.38095238095238,0.0952380952380952,14.0,25.0,18.0,38.0,6.0,42.0,1.0952380952380951,20.666666666666668,0.29,0.0,6.874371859296482,51.0,0.0,11.361809045226131,57.0,0.0,2096.0,417.0,0.0,1.2964824120603016,7.0,1.0
DDLSemanticAnalyzer.java,29.0,2.0,4.0,5.0,4.0,1.0,1.0,96.5,0.0,2.0,9.0,1.0,97.0,0.0,87.0,1.5,97.0,0.17,1.0,8.401869158878505,90.0,1.0,15.16822429906542,85.0,0.0,2.0,0.0,0.0,1.485981308411215,8.0,0.0
Driver.java,27.0,2.0,4.0,5.0,5.0,2.0,1.309090909090909,14.8,0.0727272727272727,4.0,6.0,0.0,38.0,0.0,49.0,1.3727272727272728,29.92727272727273,0.2,0.0,5.04860088365243,235.0,0.0,7.167893961708395,125.0,0.0,1256.0,602.0,0.0,0.7849779086892489,8.0,1.0
FileDump.java,31.0,2.0,2.0,5.0,4.0,2.0,1.1428571428571428,34.857142857142854,0.0,2.0,25.0,7.0,16.0,0.0,21.0,1.2857142857142858,14.285714285714286,0.09,1.0,7.660377358490566,33.0,1.0,15.30188679245283,57.0,0.0,4.0,0.0,0.0,1.7547169811320755,6.0,0.0
HCatBaseStorer.java,22.0,1.0,3.0,5.0,4.0,3.0,1.5,33.5,0.5,3.0,4.0,1.0,10.0,2.0,34.0,1.5,45.5,0.21,0.0,8.238095238095237,37.0,0.0,7.428571428571429,49.0,0.0,0.0,0.0,0.0,1.1904761904761905,4.0,0.0
HiveMetaStore.java,21.0,1.0,1.0,4.0,4.0,1.0,1.339622641509434,21.32075471698113,0.1698113207547169,28.0,33.0,4.0,102.0,7.0,29.0,1.4150943396226414,21.16981132075472,0.08,0.0,5.512968299711815,120.0,0.0,7.909221902017291,105.0,0.0,1.0,1.0,0.0,0.9221902017291066,6.0,1.0
MegaStruct.java,17.0,1.0,0.0,4.0,4.0,2.0,2.2,18.2,0.0,6.0,3.0,1.0,2.0,0.0,62.0,1.4,18.4,0.04,0.0,4.515723270440252,43.0,0.0,4.163522012578617,68.0,-2080375.0,-14748.0,1000.0,0.0,0.3584905660377358,5.0,0.0
MetaStoreDirectSql.java,25.0,1.0,3.0,4.0,4.0,2.0,1.0,8.458333333333334,0.7916666666666666,26.0,8.0,3.0,29.0,5.0,38.0,1.8333333333333333,6.333333333333333,0.14,1.0,5.202702702702703,18.0,0.0,7.527027027027027,62.0,0.0,4.0,0.0,0.0,1.108108108108108,6.0,1.0
RecordReaderImpl.java,24.0,1.0,4.0,6.0,6.0,3.0,1.8333333333333333,37.833333333333336,0.1666666666666666,4.0,16.0,8.0,15.0,2.0,44.0,1.1666666666666667,59.833333333333336,0.19,0.0,7.286666666666667,45.0,1.0,7.013333333333334,33.0,0.0,0.0,0.0,0.0,1.086666666666667,4.0,1.0
RexNodeConverter.java,27.0,1.0,3.0,6.0,5.0,2.0,1.0,50.0,0.0,2.0,3.0,0.0,12.0,2.0,28.0,1.0,37.5,0.17,2.0,9.466666666666669,31.0,1.0,13.333333333333334,46.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0
VectorizationContext.java,22.0,1.0,2.0,5.0,4.0,2.0,1.1666666666666667,72.16666666666667,0.1666666666666666,6.0,20.0,5.0,50.0,4.0,32.0,1.1666666666666667,24.83333333333333,0.14,0.0,5.507246376811594,40.0,1.0,8.442028985507246,42.0,0.0,0.0,0.0,0.0,0.8478260869565217,6.0,1.0
Table.java,15.0,1.0,1.0,4.0,3.0,2.0,1.5838709677419356,12.751612903225809,0.1774193548387097,6.0,3.0,1.0,2.0,0.0,44.0,1.5064516129032255,30.548387096774192,0.05,0.0,4.375924214417745,194.0,0.0,4.83086876155268,108.0,0.0,376.0,1000.0,0.0,0.5145563770794824,8.0,0.0
Task.java,14.0,0.0,1.0,4.0,3.0,2.0,1.5191256830601092,19.53551912568306,0.2677595628415301,6.0,3.0,1.0,2.0,0.0,26.0,1.4043715846994536,30.136612021857925,0.06,0.0,4.932388924661945,131.0,0.0,7.221506761107534,121.0,0.0,8.0,5.0,0.0,0.8705730843528654,10.0,0.0
